control_before,year,month,block,total_lbs,total_value ,season
,2001,1,756,1180.9,9741.25,3
,2001,2,756,1063.5,8476.05,3
,2001,3,756,514.3,4284.4,3
,2000,10,758,948,6111,3
,2000,10,767,298.29,1756.0125,3
,2000,11,767,432.31,2862.32,3
,2000,12,767,130,650,3
,2000,10,800,142.9,821.675,3
,2000,12,800,108.6,735.225,3
,2000,10,801,5323.5,32335.53,3
,2000,11,801,2068.5,13157.35,3
,2000,12,801,1103.2,7772.8,3
,2001,1,801,773.8,5542.8,3
,2001,2,801,446,3176,3
,2001,3,801,94.9,692.25,3
,2000,12,802,136,816,3
,2001,1,802,170,1190,3
,2001,2,802,35,262.5,3
,2001,3,802,21.5,161.25,3
,2000,11,803,226,1525.5,3
,2000,10,804,421,2526,3
,2000,11,804,200,1200,3
,2000,12,804,166,1079,3
,2001,2,804,107.5,798,3
,2001,1,806,11.25,78.75,3
,2001,2,806,20.5,143.5,3
,2000,10,809,96,552,3
,2000,11,812,787,5115.5,3
,2000,10,813,7095.9,45343.575,3
,2000,11,813,6839.8,47083.25,3
,2000,12,813,7986.1,52616.815,3
,2001,1,813,2493.5,17851,3
,2001,2,813,298.4,2208.16,3
,2001,3,813,882,6554,3
,2001,2,819,123,922.5,3
,2000,12,820,46,322,3
,2000,10,822,2162.2,12954.05,3
,2000,12,822,99,693,3
,2001,1,822,254,1778,3
,2001,2,822,187,1309,3
,2000,10,827,452.8,2716.8,3
,2000,10,829,11294,64733.595,3
,2000,11,829,4140.6,26435.625,3
,2000,12,829,1280.3,8539.35,3
,2001,1,829,526,3634.5,3
,2001,2,829,536.1,3868.25,3
,2000,12,832,55,385,3
,2000,10,834,200,1200,3
,2000,10,840,1337,8039,3
,2000,12,840,154.3,1118.675,3
,2001,2,840,144,1044,3
,2000,11,845,164,984,3
,2001,2,845,225,1575,3
,2000,11,846,66,396,3
,2000,11,847,114.2,685.2,3
,2001,2,848,448,3136,3
,2000,10,849,4513,27408,3
,2000,11,849,1097,6582,3
,2000,12,849,763,5002,3
,2000,10,850,3217.35,19096.37,3
,2000,11,850,2552.66,17129.795,3
,2000,12,850,4253.45,29705.0875,3
,2001,1,850,3193.7,23073.775,3
,2001,2,850,1915,13811.25,3
,2001,3,850,2173.7,16025.75,3
,2000,10,852,147.5,958.75,3
,2001,2,852,20,145,3
,2000,11,858,86.5,605.5,3
,2000,12,861,56,392,3
,2000,10,862,238.9,1313.95,3
,2000,12,862,126.4,902.15,3
,2001,1,862,48,303,3
,2000,11,864,400.1,2515.6,3
,2000,11,866,49.2,295.2,3
,2000,10,867,1561.4,9219.8,3
,2000,11,867,2490.5,15813.15,3
,2000,12,867,266,1862,3
,2001,1,867,613.3,4293.1,3
,2001,2,867,71.8,538.5,3
,2001,3,867,85.6,642,3
,2000,10,869,1464.4,8761.875,3
,2001,2,872,94,658,3
,2000,10,880,422,2532,3
,2000,11,880,125.9,755.4,3
,2000,12,880,42.8,256.8,3
,2000,10,881,566.1,3268.45,3
,2000,11,897,960,5760,3
,2001,12,632,76.4,534.8,4
,2002,1,632,72.5,423.5,4
,2002,2,632,19.7,128.1,4
,2002,3,632,71,350,4
,2001,10,633,44.5,311.5,4
,2002,2,636,58.4,423.4,4
,2001,11,638,35.6,249.2,4
,2001,12,643,91.3,616.275,4
,2002,1,643,473.4,3313.8,4
,2002,2,643,163.1,1164.025,4
,2001,12,644,70,507.5,4
,2001,10,651,134.6,807.6,4
,2001,12,651,131.8,869.88,4
